aset,bset,class,conf,meas
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.52,6.54
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.38,6.53
FOREIGN_WORKER=yes,PURPOSE=new_car OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.35,6.4
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.57,6.34
FOREIGN_WORKER=yes,HOUSING=own OWN_TELEPHONE=none,CREDIT=bad,0.27,6.33
PERSONAL_STATUS=female_div_sep_mar,DURATION=le_17d6 EMPLOYMENT=lt_1 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.52,6.31
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.33,6.29
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 CREDIT_HISTORY=existing_paid PURPOSE=new_car AGE=le_30d2,CREDIT=bad,0.78,6.28
FOREIGN_WORKER=yes,INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.33,6.28
FOREIGN_WORKER=yes,DURATION=le_17d6 CREDIT_AMOUNT=le_38848d8 OWN_TELEPHONE=none,CREDIT=bad,0.23,6.26
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate JOB=skilled,CREDIT=bad,0.47,6.21
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate JOB=skilled,CREDIT=bad,0.47,6.21
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8,CREDIT=bad,0.47,6.19
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 HOUSING=own OWN_TELEPHONE=none,CREDIT=bad,0.26,6.15
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.29,6.1
FOREIGN_WORKER=yes,DURATION=le_17d6 OWN_TELEPHONE=none,CREDIT=bad,0.22,6.08
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.5,6.05
FOREIGN_WORKER=yes,DURATION=le_17d6 CREDIT_AMOUNT=le_38848d8,CREDIT=bad,0.2,5.93
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.59,5.9
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.53,5.89
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PROPERTY_MAGNITUDE=real_estate OTHER_PAYMENT_PLANS=none JOB=skilled,CREDIT=bad,0.63,5.89
PERSONAL_STATUS=female_div_sep_mar,INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=life_insurance HOUSING=rent NUM_DEPENDENTS=le_1d2,CREDIT=good,0.72,5.77
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 OWN_TELEPHONE=none,CREDIT=bad,0.52,5.76
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid OWN_TELEPHONE=none,CREDIT=bad,0.35,5.7
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 HOUSING=own,CREDIT=bad,0.22,5.69
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 EMPLOYMENT=lt_1 EXISTING_CREDITS=le_1d6,CREDIT=bad,1,5.66
FOREIGN_WORKER=yes,DURATION=le_17d6 PURPOSE=new_car,CREDIT=bad,0.31,5.66
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.29,5.57
FOREIGN_WORKER=yes,PURPOSE=new_car SAVINGS_STATUS=lt_100 OWN_TELEPHONE=none,CREDIT=bad,0.5,5.5
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car EMPLOYMENT=lt_1 EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.91,5.5
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,PURPOSE=new_car EMPLOYMENT=lt_1 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.91,5.5
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car EMPLOYMENT=lt_1 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.91,5.5
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.45,5.48
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 EMPLOYMENT=from_1_lt_4 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.63,5.47
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.54,5.45
FOREIGN_WORKER=yes,OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.32,5.44
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.33,5.43
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 OWN_TELEPHONE=none,CREDIT=bad,0.67,5.4
FOREIGN_WORKER=yes,OTHER_PAYMENT_PLANS=none HOUSING=own OWN_TELEPHONE=none,CREDIT=bad,0.24,5.4
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 OWN_TELEPHONE=none,CREDIT=bad,0.33,5.39
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 OWN_TELEPHONE=none,CREDIT=bad,0.53,5.36
FOREIGN_WORKER=yes,PURPOSE=new_car RESIDENCE_SINCE=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.53,5.33
FOREIGN_WORKER=yes,PURPOSE=new_car RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.53,5.32
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 OWN_TELEPHONE=none,CREDIT=bad,0.53,5.32
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=furniture_or_equipment EMPLOYMENT=from_1_lt_4 AGE=le_30d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.62,5.31
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.35,5.27
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 EMPLOYMENT=lt_1 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.83,5.27
FOREIGN_WORKER=yes,OWN_TELEPHONE=none,CREDIT=bad,0.32,5.24
FOREIGN_WORKER=yes,DURATION=le_17d6 CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.2,5.24
FOREIGN_WORKER=yes,PURPOSE=new_car HOUSING=own,CREDIT=bad,0.37,5.19
FOREIGN_WORKER=yes,AGE=le_30d2,CREDIT=bad,0.37,5.18
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.46,5.16
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car OWN_TELEPHONE=none,CREDIT=bad,0.64,5.15
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.36,5.14
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 OWN_TELEPHONE=none,CREDIT=bad,0.57,5.14
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate JOB=skilled NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.47,5.14
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.36,5.13
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car EMPLOYMENT=lt_1 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.73,5.13
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,PURPOSE=new_car EMPLOYMENT=lt_1 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.73,5.13
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8,CREDIT=bad,0.28,5.12
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.26,5.1
FOREIGN_WORKER=yes,DURATION=le_17d6 OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.2,5.08
FOREIGN_WORKER=yes,SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.33,5.08
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100,CREDIT=bad,0.45,5.03
FOREIGN_WORKER=yes,PURPOSE=new_car EXISTING_CREDITS=le_1d6,CREDIT=bad,0.41,5.02
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.33,5.02
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.29,5.01
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.5,5
FOREIGN_WORKER=yes,RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.33,5
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PURPOSE=new_car AGE=le_30d2 JOB=skilled,CREDIT=bad,0.83,5
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.33,4.97
FOREIGN_WORKER=yes,DURATION=le_17d6 CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.18,4.97
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none HOUSING=own OWN_TELEPHONE=none,CREDIT=bad,0.22,4.97
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OWN_TELEPHONE=none,CREDIT=bad,0.31,4.97
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.29,4.96
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100,CREDIT=bad,0.49,4.96
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.31,4.96
FOREIGN_WORKER=yes,OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.29,4.94
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.27,4.87
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.54,4.87
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.53,4.82
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 HOUSING=own,CREDIT=bad,0.48,4.81
FOREIGN_WORKER=yes,INSTALLMENT_COMMITMENT=gt_2d8 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.34,4.8
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.34,4.78
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car EMPLOYMENT=lt_1 OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.73,4.76
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.27,4.75
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.47,4.75
FOREIGN_WORKER=yes,PURPOSE=new_car NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.47,4.74
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=furniture_or_equipment EMPLOYMENT=from_1_lt_4 AGE=le_30d2,CREDIT=bad,0.64,4.74
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none HOUSING=own,CREDIT=bad,0.19,4.74
FOREIGN_WORKER=yes,EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.33,4.73
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=from_0_lt_200 PURPOSE=furniture_or_equipment AGE=le_30d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.78,4.71
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=from_0_lt_200 PURPOSE=furniture_or_equipment AGE=le_30d2,CREDIT=bad,0.78,4.71
FOREIGN_WORKER=yes,PURPOSE=new_car AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.39,4.68
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.33,4.66
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.58,4.66
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 HOUSING=rent JOB=skilled NUM_DEPENDENTS=le_1d2,CREDIT=good,0.46,4.66
PERSONAL_STATUS=female_div_sep_mar,PROPERTY_MAGNITUDE=real_estate OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6 JOB=skilled,CREDIT=bad,0.33,4.66
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.33,4.66
FOREIGN_WORKER=yes,SAVINGS_STATUS=lt_100 RESIDENCE_SINCE=gt_2d8,CREDIT=bad,0.38,4.66
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.42,4.65
FOREIGN_WORKER=yes,INSTALLMENT_COMMITMENT=gt_2d8 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.38,4.64
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.3,4.64
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=gt_2d8,CREDIT=bad,0.51,4.63
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.38,4.62
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car CREDIT_AMOUNT=le_38848d8,CREDIT=bad,0.57,4.61
FOREIGN_WORKER=yes,RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.28,4.6
FOREIGN_WORKER=yes,SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.41,4.58
FOREIGN_WORKER=yes,RESIDENCE_SINCE=from_1d6_le_2d2 EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.35,4.56
FOREIGN_WORKER=yes,AGE=le_30d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.35,4.55
FOREIGN_WORKER=yes,RESIDENCE_SINCE=gt_2d8,CREDIT=bad,0.3,4.55
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid PURPOSE=new_car EMPLOYMENT=lt_1,CREDIT=bad,0.9,4.54
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid PURPOSE=new_car EMPLOYMENT=lt_1,CREDIT=bad,0.9,4.54
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid PURPOSE=new_car EMPLOYMENT=lt_1 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.9,4.54
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid PURPOSE=new_car EMPLOYMENT=lt_1 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.9,4.54
FOREIGN_WORKER=yes,OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.28,4.54
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.23,4.53
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.28,4.53
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=furniture_or_equipment EMPLOYMENT=from_1_lt_4 AGE=le_30d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.64,4.52
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.26,4.52
FOREIGN_WORKER=yes,INSTALLMENT_COMMITMENT=gt_2d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.32,4.51
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8,CREDIT=bad,0.26,4.51
PERSONAL_STATUS=female_div_sep_mar,CREDIT_AMOUNT=le_38848d8 EMPLOYMENT=from_1_lt_4 INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=real_estate,CREDIT=bad,0.4,4.5
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 HOUSING=own,CREDIT=bad,0.5,4.5
FOREIGN_WORKER=yes,AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.32,4.48
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.26,4.48
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car SAVINGS_STATUS=lt_100 OWN_TELEPHONE=none,CREDIT=bad,0.63,4.47
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.63,4.47
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid PURPOSE=new_car,CREDIT=bad,0.44,4.45
FOREIGN_WORKER=yes,HOUSING=own EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.31,4.43
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.36,4.43
FOREIGN_WORKER=yes,DURATION=le_17d6 PURPOSE=new_car OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.27,4.42
FOREIGN_WORKER=yes,SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.4,4.42
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.49,4.41
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.31,4.4
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.77,4.4
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.31,4.4
FOREIGN_WORKER=yes,AGE=le_30d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.36,4.4
FOREIGN_WORKER=yes,OTHER_PAYMENT_PLANS=none JOB=skilled,CREDIT=bad,0.27,4.39
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 HOUSING=own,CREDIT=bad,0.27,4.37
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid PURPOSE=new_car EXISTING_CREDITS=le_1d6,CREDIT=bad,0.43,4.36
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,PURPOSE=new_car EMPLOYMENT=lt_1 OWN_TELEPHONE=none,CREDIT=bad,0.76,4.35
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car EMPLOYMENT=lt_1 OWN_TELEPHONE=none,CREDIT=bad,0.76,4.35
FOREIGN_WORKER=yes,SAVINGS_STATUS=lt_100 HOUSING=own OWN_TELEPHONE=none,CREDIT=bad,0.31,4.34
FOREIGN_WORKER=yes,CREDIT_HISTORY=existing_paid RESIDENCE_SINCE=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.36,4.32
FOREIGN_WORKER=yes,HOUSING=own NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.26,4.31
FOREIGN_WORKER=yes,PURPOSE=new_car,CREDIT=bad,0.4,4.28
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 AGE=from_30d2_le_41d4,CREDIT=bad,0.42,4.28
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 RESIDENCE_SINCE=gt_2d8 PROPERTY_MAGNITUDE=real_estate JOB=skilled,CREDIT=bad,0.71,4.28
FOREIGN_WORKER=yes,AGE=le_30d2 OWN_TELEPHONE=none,CREDIT=bad,0.35,4.27
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 EXISTING_CREDITS=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.53,4.26
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.38,4.26
