aset,bset,class,conf,measure
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.57,2.85
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.57,2.85
FOREIGN_WORKER=yes,PURPOSE=new_car RESIDENCE_SINCE=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.56,2.83
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.56,2.83
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 EXISTING_CREDITS=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.56,2.81
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 AGE=from_30d2_le_41d4,CREDIT=bad,0.7,2.8
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid HOUSING=own NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.55,2.79
FOREIGN_WORKER=yes,PURPOSE=new_car RESIDENCE_SINCE=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.55,2.78
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 AGE=from_30d2_le_41d4,CREDIT=bad,0.69,2.78
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.69,2.78
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.55,2.76
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 JOB=skilled OWN_TELEPHONE=none,CREDIT=bad,0.68,2.75
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 HOUSING=own EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.55,2.75
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.55,2.75
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none HOUSING=own,CREDIT=bad,0.91,2.75
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 CREDIT_AMOUNT=le_38848d8 OWN_TELEPHONE=none,CREDIT=bad,0.68,2.73
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 EXISTING_CREDITS=from_1d6_le_2d2,CREDIT=bad,0.54,2.73
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.54,2.71
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.54,2.71
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 HOUSING=rent,CREDIT=bad,0.54,2.7
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid OTHER_PAYMENT_PLANS=none HOUSING=own,CREDIT=bad,0.54,2.7
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.54,2.7
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2,CREDIT=bad,0.54,2.7
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 JOB=skilled NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.53,2.69
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.53,2.68
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.53,2.68
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.53,2.68
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 HOUSING=rent,CREDIT=bad,0.66,2.66
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.66,2.66
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.53,2.65
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid HOUSING=own,CREDIT=bad,0.52,2.62
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 OWN_TELEPHONE=none,CREDIT=bad,0.75,2.62
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_HISTORY=existing_paid,CREDIT=bad,0.52,2.61
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car,CREDIT=bad,0.57,2.6
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 RESIDENCE_SINCE=gt_2d8 AGE=le_30d2 HOUSING=rent,CREDIT=bad,0.65,2.6
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.51,2.58
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 AGE=le_30d2 JOB=skilled,CREDIT=bad,0.81,2.57
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 JOB=skilled,CREDIT=bad,0.63,2.55
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 OWN_TELEPHONE=none,CREDIT=bad,0.63,2.55
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 EXISTING_CREDITS=from_1d6_le_2d2,CREDIT=bad,0.63,2.52
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 CREDIT_HISTORY=existing_paid PROPERTY_MAGNITUDE=real_estate AGE=le_30d2,CREDIT=bad,0.68,2.52
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 JOB=skilled NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.62,2.51
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 CREDIT_HISTORY=existing_paid PURPOSE=new_car NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.73,2.5
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 AGE=from_30d2_le_41d4 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.62,2.5
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 EXISTING_CREDITS=from_1d6_le_2d2,CREDIT=bad,0.62,2.48
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 CREDIT_HISTORY=existing_paid PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.76,2.48
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 EXISTING_CREDITS=from_1d6_le_2d2 JOB=skilled OWN_TELEPHONE=none,CREDIT=bad,0.62,2.48
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car SAVINGS_STATUS=lt_100,CREDIT=bad,0.61,2.47
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 JOB=skilled,CREDIT=bad,0.61,2.46
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 HOUSING=own,CREDIT=bad,0.92,2.46
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid EMPLOYMENT=lt_1 INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=gt_2d8,CREDIT=bad,0.73,2.45
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 AGE=from_30d2_le_41d4 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.61,2.44
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.87,2.42
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 HOUSING=rent,CREDIT=bad,0.6,2.42
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.6,2.41
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 DURATION=from_17d6_le_31d2 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.6,2.4
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.6,2.4
FOREIGN_WORKER=yes,EMPLOYMENT=from_1_lt_4 OTHER_PAYMENT_PLANS=bank NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.6,2.4
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.86,2.4
FOREIGN_WORKER=yes,EMPLOYMENT=from_1_lt_4 OTHER_PAYMENT_PLANS=bank OWN_TELEPHONE=none,CREDIT=bad,0.6,2.4
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 RESIDENCE_SINCE=gt_2d8 HOUSING=rent JOB=skilled,CREDIT=bad,0.59,2.37
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 CREDIT_HISTORY=existing_paid PURPOSE=new_car JOB=skilled,CREDIT=bad,0.78,2.35
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 JOB=skilled OWN_TELEPHONE=none,CREDIT=bad,0.58,2.34
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.58,2.34
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 AGE=from_30d2_le_41d4 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.58,2.33
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 EXISTING_CREDITS=from_1d6_le_2d2 JOB=skilled,CREDIT=bad,0.58,2.32
FOREIGN_WORKER=yes,DURATION=le_17d6 PURPOSE=new_car PROPERTY_MAGNITUDE=life_insurance NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.57,2.31
PERSONAL_STATUS=female_div_sep_mar,CREDIT_HISTORY=existing_paid PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.76,2.3
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.57,2.3
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=life_insurance OWN_TELEPHONE=none,CREDIT=bad,0.57,2.28
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.57,2.28
FOREIGN_WORKER=yes,HOUSING=rent EXISTING_CREDITS=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.57,2.28
